Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,,,Microsoft.AspNetCore.SignalR.Client 6.0.9,,,,,"Microsoft.AspNetCore.SignalR.Client, 6.0.9  Recommendation:  Remove Microsoft.AspNetCore.SignalR.Client, and replace with new package Microsoft.AspNetCore.SignalR.Client 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,,,Newtonsoft.Json 13.0.1,,,,,"Newtonsoft.Json, 13.0.1  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,,,Xamarin.Forms 5.0.0.2196,,,,,"Xamarin.Forms, 5.0.0.2196  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,,,Xamarin.Essentials 1.7.0,,,,,"Xamarin.Essentials, 1.7.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,,,Plugin.Share 7.1.1,,,,,"Plugin.Share, 7.1.1  Recommendation:  Should be replaced. Remove Plugin.Share, and replace with new package Plugin.Share, 7.1.1"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\Helper\Services\GetDataUrlService.cs,247,16,T:System.Net.Http.HttpContent,,,,,var json1 = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\Helper\Services\GetDataUrlService.cs,241,16,T:System.Uri,,,,,client.BaseAddress = new Uri(BaseUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\Helper\Services\GetDataUrlService.cs,241,16,M:System.Uri.#ctor(System.String),,,,,client.BaseAddress = new Uri(BaseUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\Helper\Services\GetDataUrlService.cs,241,16,T:System.Uri,,,,,client.BaseAddress = new Uri(BaseUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\Helper\Services\GetDataUrlService.cs,222,16,T:System.Net.Http.HttpContent,,,,,var json1 = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\Helper\Services\GetDataUrlService.cs,212,16,T:System.Uri,,,,,client.BaseAddress = new Uri(BaseUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\Helper\Services\GetDataUrlService.cs,212,16,M:System.Uri.#ctor(System.String),,,,,client.BaseAddress = new Uri(BaseUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppSmartKidsXa\AppSmartKidsXa\AppSmartKidsXa.csproj,File,AppSmartKidsXa\AppSmartKidsXa\Helper\Services\GetDataUrlService.cs,212,16,T:System.Uri,,,,,client.BaseAddress = new Uri(BaseUrl);
